"language","rater_group","text","question","text_type","rater","rating","rating_zr"
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater3",3,0.309157598954232
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater3",-3,-0.358238805564508
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater3",2,0.144920472248412
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater3",1,0.0412730856763104
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater3",5,0.697329344447225
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater3",7,1.15787860364502
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater4",-8,-1.4034126358514
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater4",-2,-0.202525183346417
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater4",-9,-1.81217702574853
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater4",-3,-0.358238805564508
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater4",3,0.309157598954232
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater4",-2,-0.202525183346417
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater4",7,1.15787860364502
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater4",10,2.86919144321932
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater4",2,0.144920472248412
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater4",-9,-1.81217702574853
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater5",-8,-1.4034126358514
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater5",-9,-1.81217702574853
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater5",8,1.4916059817795
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater5",-9,-1.81217702574853
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater5",3,0.309157598954232
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater5",8,1.4916059817795
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater5",6,0.91129508069062
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater5",8,1.4916059817795
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater5",7,1.15787860364502
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater5",4,0.499703382207784
"English","English_Rg1","English_text_1","Q1","Type 1","English_rater6",-6,-0.967421566101701
"English","English_Rg1","English_text_4","Q1","Type 2","English_rater6",8,1.4916059817795
"English","English_Rg1","English_text_6","Q1","Type 1","English_rater6",-4,-0.535082815086322
"English","English_Rg1","English_text_7","Q1","Type 2","English_rater6",-6,-0.967421566101701
"English","English_Rg1","English_text_10","Q1","Type 1","English_rater6",2,0.144920472248412
"English","English_Rg1","English_text_12","Q1","Type 2","English_rater6",-2,-0.202525183346417
"English","English_Rg1","English_text_15","Q1","Type 1","English_rater6",2,0.144920472248412
"English","English_Rg1","English_text_16","Q1","Type 2","English_rater6",-4,-0.535082815086322
"English","English_Rg1","English_text_19","Q1","Type 2","English_rater6",4,0.499703382207784
"English","English_Rg1","English_text_20","Q1","Type 1","English_rater6",-6,-0.967421566101701
"English","English_Rg2","English_text_21","Q1","Type 1","English_rater7",-4,-0.535082815086322
"English","English_Rg2","English_text_23","Q1","Type 1","English_rater7",-8,-1.4034126358514
"English","English_Rg2","English_text_25","Q1","Type 2","English_rater7",8,1.4916059817795
"English","English_Rg2","English_text_27","Q1","Type 2","English_rater7",0,0
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater7",2,0.144920472248412
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater7",-2,-0.202525183346417
"English","English_Rg2","English_text_33","Q1","Type 1","English_rater7",-9,-1.81217702574853
"English","English_Rg2","English_text_34","Q1","Type 2","English_rater7",-8,-1.4034126358514
"English","English_Rg2","English_text_36","Q1","Type 1","English_rater7",-2,-0.202525183346417
"English","English_Rg2","English_text_38","Q1","Type 2","English_rater7",4,0.499703382207784
"English","English_Rg2","English_text_40","Q1","Type 1","English_rater7",-2,-0.202525183346417
"English","English_Rg2","English_text_21","Q1","Type 1","English_rater8",-6,-0.967421566101701
"English","English_Rg2","English_text_23","Q1","Type 1","English_rater8",3,0.309157598954232
"English","English_Rg2","English_text_25","Q1","Type 2","English_rater8",-2,-0.202525183346417
"English","English_Rg2","English_text_27","Q1","Type 2","English_rater8",-4,-0.535082815086322
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater8",2,0.144920472248412
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater8",5,0.697329344447225
"English","English_Rg2","English_text_33","Q1","Type 1","English_rater8",2,0.144920472248412
"English","English_Rg2","English_text_34","Q1","Type 2","English_rater8",3,0.309157598954232
"English","English_Rg2","English_text_36","Q1","Type 1","English_rater8",2,0.144920472248412
"English","English_Rg2","English_text_38","Q1","Type 2","English_rater8",5,0.697329344447225
"English","English_Rg2","English_text_40","Q1","Type 1","English_rater8",-10,-2.50210647334306
"English","English_Rg2","English_text_21","Q1","Type 1","English_rater9",-4,-0.535082815086322
"English","English_Rg2","English_text_23","Q1","Type 1","English_rater9",-1,-0.0619316234553173
"English","English_Rg2","English_text_25","Q1","Type 2","English_rater9",-1,-0.0619316234553173
"English","English_Rg2","English_text_27","Q1","Type 2","English_rater9",-1,-0.0619316234553173
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater9",5,0.697329344447225
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater9",1,0.0412730856763104
"English","English_Rg2","English_text_33","Q1","Type 1","English_rater9",-1,-0.0619316234553173
"English","English_Rg2","English_text_34","Q1","Type 2","English_rater9",-7,-1.20984741420994
"English","English_Rg2","English_text_36","Q1","Type 1","English_rater9",0,0
"English","English_Rg2","English_text_38","Q1","Type 2","English_rater9",-1,-0.0619316234553173
"English","English_Rg2","English_text_40","Q1","Type 1","English_rater9",1,0.0412730856763104
"English","English_Rg2","English_text_21","Q1","Type 1","English_rater10",-4,-0.535082815086322
"English","English_Rg2","English_text_23","Q1","Type 1","English_rater10",3,0.309157598954232
"English","English_Rg2","English_text_25","Q1","Type 2","English_rater10",7,1.15787860364502
"English","English_Rg2","English_text_27","Q1","Type 2","English_rater10",5,0.697329344447225
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater10",-2,-0.202525183346417
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater10",2,0.144920472248412
"English","English_Rg2","English_text_33","Q1","Type 1","English_rater10",-1,-0.0619316234553173
"English","English_Rg2","English_text_34","Q1","Type 2","English_rater10",2,0.144920472248412
"English","English_Rg2","English_text_36","Q1","Type 1","English_rater10",-5,-0.737356881131245
"English","English_Rg2","English_text_38","Q1","Type 2","English_rater10",3,0.309157598954232
"English","English_Rg2","English_text_40","Q1","Type 1","English_rater10",-6,-0.967421566101701
"English","English_Rg2","English_text_21","Q1","Type 1","English_rater11",6,0.91129508069062
"English","English_Rg2","English_text_23","Q1","Type 1","English_rater11",-7,-1.20984741420994
"English","English_Rg2","English_text_25","Q1","Type 2","English_rater11",3,0.309157598954232
"English","English_Rg2","English_text_27","Q1","Type 2","English_rater11",-2,-0.202525183346417
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater11",6,0.91129508069062
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater11",8,1.4916059817795
"English","English_Rg2","English_text_33","Q1","Type 1","English_rater11",7,1.15787860364502
"English","English_Rg2","English_text_34","Q1","Type 2","English_rater11",7,1.15787860364502
"English","English_Rg2","English_text_36","Q1","Type 1","English_rater11",-2,-0.202525183346417
"English","English_Rg2","English_text_38","Q1","Type 2","English_rater11",9,1.96527241897178
"English","English_Rg2","English_text_40","Q1","Type 1","English_rater11",-9,-1.81217702574853
"English","English_Rg2","English_text_21","Q1","Type 1","English_rater12",8,1.4916059817795
"English","English_Rg2","English_text_23","Q1","Type 1","English_rater12",-5,-0.737356881131245
"English","English_Rg2","English_text_25","Q1","Type 2","English_rater12",5,0.697329344447225
"English","English_Rg2","English_text_27","Q1","Type 2","English_rater12",8,1.4916059817795
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater12",8,1.4916059817795
"English","English_Rg2","English_text_29","Q1","Type 2","English_rater12",7,1.15787860364502
"English","English_Rg2","English_text_33","Q1","Type 1","English_rater12",-4,-0.535082815086322
"English","English_Rg2","English_text_34","Q1","Type 2","English_rater12",8,1.4916059817795
"English","English_Rg2","English_text_36","Q1","Type 1","English_rater12",-4,-0.535082815086322
"English","English_Rg2","English_text_38","Q1","Type 2","English_rater12",-4,-0.535082815086322
"English","English_Rg2","English_text_40","Q1","Type 1","English_rater12",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_3","Q1","Type 1","Spanish_rater1",-6,-0.967421566101701
"Spanish","Spanish_Rg1","Spanish_text_5","Q1","Type 2","Spanish_rater1",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_8","Q1","Type 1","Spanish_rater1",5,0.697329344447225
"Spanish","Spanish_Rg1","Spanish_text_10","Q1","Type 2","Spanish_rater1",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_13","Q1","Type 2","Spanish_rater1",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_14","Q1","Type 2","Spanish_rater1",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_15","Q1","Type 1","Spanish_rater1",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_16","Q1","Type 1","Spanish_rater1",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_17","Q1","Type 2","Spanish_rater1",-5,-0.737356881131245
"Spanish","Spanish_Rg1","Spanish_text_18","Q1","Type 1","Spanish_rater1",-3,-0.358238805564508
"Spanish","Spanish_Rg1","Spanish_text_3","Q1","Type 1","Spanish_rater2",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_5","Q1","Type 2","Spanish_rater2",8,1.4916059817795
"Spanish","Spanish_Rg1","Spanish_text_8","Q1","Type 1","Spanish_rater2",2,0.144920472248412
"Spanish","Spanish_Rg1","Spanish_text_10","Q1","Type 2","Spanish_rater2",-10,-2.50210647334306
"Spanish","Spanish_Rg1","Spanish_text_13","Q1","Type 2","Spanish_rater2",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_14","Q1","Type 2","Spanish_rater2",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_15","Q1","Type 1","Spanish_rater2",2,0.144920472248412
"Spanish","Spanish_Rg1","Spanish_text_16","Q1","Type 1","Spanish_rater2",8,1.4916059817795
"Spanish","Spanish_Rg1","Spanish_text_17","Q1","Type 2","Spanish_rater2",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_18","Q1","Type 1","Spanish_rater2",-8,-1.4034126358514
"Spanish","Spanish_Rg1","Spanish_text_3","Q1","Type 1","Spanish_rater3",0,0
"Spanish","Spanish_Rg1","Spanish_text_5","Q1","Type 2","Spanish_rater3",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_8","Q1","Type 1","Spanish_rater3",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_10","Q1","Type 2","Spanish_rater3",-10,-2.50210647334306
"Spanish","Spanish_Rg1","Spanish_text_13","Q1","Type 2","Spanish_rater3",-6,-0.967421566101701
"Spanish","Spanish_Rg1","Spanish_text_14","Q1","Type 2","Spanish_rater3",2,0.144920472248412
"Spanish","Spanish_Rg1","Spanish_text_15","Q1","Type 1","Spanish_rater3",2,0.144920472248412
"Spanish","Spanish_Rg1","Spanish_text_16","Q1","Type 1","Spanish_rater3",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_17","Q1","Type 2","Spanish_rater3",8,1.4916059817795
"Spanish","Spanish_Rg1","Spanish_text_18","Q1","Type 1","Spanish_rater3",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_3","Q1","Type 1","Spanish_rater4",-7,-1.20984741420994
"Spanish","Spanish_Rg1","Spanish_text_5","Q1","Type 2","Spanish_rater4",10,2.86919144321932
"Spanish","Spanish_Rg1","Spanish_text_8","Q1","Type 1","Spanish_rater4",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_10","Q1","Type 2","Spanish_rater4",2,0.144920472248412
"Spanish","Spanish_Rg1","Spanish_text_13","Q1","Type 2","Spanish_rater4",-5,-0.737356881131245
"Spanish","Spanish_Rg1","Spanish_text_14","Q1","Type 2","Spanish_rater4",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_15","Q1","Type 1","Spanish_rater4",-3,-0.358238805564508
"Spanish","Spanish_Rg1","Spanish_text_16","Q1","Type 1","Spanish_rater4",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_17","Q1","Type 2","Spanish_rater4",2,0.144920472248412
"Spanish","Spanish_Rg1","Spanish_text_18","Q1","Type 1","Spanish_rater4",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_3","Q1","Type 1","Spanish_rater5",-6,-0.967421566101701
"Spanish","Spanish_Rg1","Spanish_text_5","Q1","Type 2","Spanish_rater5",10,2.86919144321932
"Spanish","Spanish_Rg1","Spanish_text_8","Q1","Type 1","Spanish_rater5",-8,-1.4034126358514
"Spanish","Spanish_Rg1","Spanish_text_10","Q1","Type 2","Spanish_rater5",0,0
"Spanish","Spanish_Rg1","Spanish_text_13","Q1","Type 2","Spanish_rater5",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_14","Q1","Type 2","Spanish_rater5",8,1.4916059817795
"Spanish","Spanish_Rg1","Spanish_text_15","Q1","Type 1","Spanish_rater5",6,0.91129508069062
"Spanish","Spanish_Rg1","Spanish_text_16","Q1","Type 1","Spanish_rater5",3,0.309157598954232
"Spanish","Spanish_Rg1","Spanish_text_17","Q1","Type 2","Spanish_rater5",-2,-0.202525183346417
"Spanish","Spanish_Rg1","Spanish_text_18","Q1","Type 1","Spanish_rater5",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_3","Q1","Type 1","Spanish_rater6",-5,-0.737356881131245
"Spanish","Spanish_Rg1","Spanish_text_5","Q1","Type 2","Spanish_rater6",5,0.697329344447225
"Spanish","Spanish_Rg1","Spanish_text_8","Q1","Type 1","Spanish_rater6",3,0.309157598954232
"Spanish","Spanish_Rg1","Spanish_text_10","Q1","Type 2","Spanish_rater6",-5,-0.737356881131245
"Spanish","Spanish_Rg1","Spanish_text_13","Q1","Type 2","Spanish_rater6",-3,-0.358238805564508
"Spanish","Spanish_Rg1","Spanish_text_14","Q1","Type 2","Spanish_rater6",-4,-0.535082815086322
"Spanish","Spanish_Rg1","Spanish_text_15","Q1","Type 1","Spanish_rater6",0,0
"Spanish","Spanish_Rg1","Spanish_text_16","Q1","Type 1","Spanish_rater6",-5,-0.737356881131245
"Spanish","Spanish_Rg1","Spanish_text_17","Q1","Type 2","Spanish_rater6",4,0.499703382207784
"Spanish","Spanish_Rg1","Spanish_text_18","Q1","Type 1","Spanish_rater6",-1,-0.0619316234553173
"Spanish","Spanish_Rg2","Spanish_text_21","Q1","Type 1","Spanish_rater7",-8,-1.4034126358514
"Spanish","Spanish_Rg2","Spanish_text_23","Q1","Type 1","Spanish_rater7",4,0.499703382207784
"Spanish","Spanish_Rg2","Spanish_text_24","Q1","Type 2","Spanish_rater7",10,2.86919144321932
"Spanish","Spanish_Rg2","Spanish_text_28","Q1","Type 1","Spanish_rater7",10,2.86919144321932
"Spanish","Spanish_Rg2","Spanish_text_30","Q1","Type 1","Spanish_rater7",10,2.86919144321932
"Spanish","Spanish_Rg2","Spanish_text_31","Q1","Type 2","Spanish_rater7",10,2.86919144321932
"Spanish","Spanish_Rg2","Spanish_text_36","Q1","Type 2","Spanish_rater7",4,0.499703382207784
"Spanish","Spanish_Rg2","Spanish_text_37","Q1","Type 2","Spanish_rater7",7,1.15787860364502
"Spanish","Spanish_Rg2","Spanish_text_39","Q1","Type 1","Spanish_rater7",-3,-0.358238805564508
"Spanish","Spanish_Rg2","Spanish_text_40","Q1","Type 2","Spanish_rater7",8,1.4916059817795
"Spanish","Spanish_Rg2","Spanish_text_21","Q1","Type 1","Spanish_rater8",-8,-1.4034126358514
"Spanish","Spanish_Rg2","Spanish_text_23","Q1","Type 1","Spanish_rater8",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_24","Q1","Type 2","Spanish_rater8",6,0.91129508069062
"Spanish","Spanish_Rg2","Spanish_text_28","Q1","Type 1","Spanish_rater8",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_30","Q1","Type 1","Spanish_rater8",9,1.96527241897178
"Spanish","Spanish_Rg2","Spanish_text_31","Q1","Type 2","Spanish_rater8",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_36","Q1","Type 2","Spanish_rater8",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_37","Q1","Type 2","Spanish_rater8",-5,-0.737356881131245
"Spanish","Spanish_Rg2","Spanish_text_39","Q1","Type 1","Spanish_rater8",-9,-1.81217702574853
"Spanish","Spanish_Rg2","Spanish_text_40","Q1","Type 2","Spanish_rater8",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_21","Q1","Type 1","Spanish_rater9",-8,-1.4034126358514
"Spanish","Spanish_Rg2","Spanish_text_23","Q1","Type 1","Spanish_rater9",-8,-1.4034126358514
"Spanish","Spanish_Rg2","Spanish_text_24","Q1","Type 2","Spanish_rater9",6,0.91129508069062
"Spanish","Spanish_Rg2","Spanish_text_28","Q1","Type 1","Spanish_rater9",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_30","Q1","Type 1","Spanish_rater9",4,0.499703382207784
"Spanish","Spanish_Rg2","Spanish_text_31","Q1","Type 2","Spanish_rater9",3,0.309157598954232
"Spanish","Spanish_Rg2","Spanish_text_36","Q1","Type 2","Spanish_rater9",-3,-0.358238805564508
"Spanish","Spanish_Rg2","Spanish_text_37","Q1","Type 2","Spanish_rater9",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_39","Q1","Type 1","Spanish_rater9",-9,-1.81217702574853
"Spanish","Spanish_Rg2","Spanish_text_40","Q1","Type 2","Spanish_rater9",5,0.697329344447225
"Spanish","Spanish_Rg2","Spanish_text_21","Q1","Type 1","Spanish_rater10",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_23","Q1","Type 1","Spanish_rater10",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_24","Q1","Type 2","Spanish_rater10",-4,-0.535082815086322
"Spanish","Spanish_Rg2","Spanish_text_28","Q1","Type 1","Spanish_rater10",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_30","Q1","Type 1","Spanish_rater10",4,0.499703382207784
"Spanish","Spanish_Rg2","Spanish_text_31","Q1","Type 2","Spanish_rater10",6,0.91129508069062
"Spanish","Spanish_Rg2","Spanish_text_36","Q1","Type 2","Spanish_rater10",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_37","Q1","Type 2","Spanish_rater10",-4,-0.535082815086322
"Spanish","Spanish_Rg2","Spanish_text_39","Q1","Type 1","Spanish_rater10",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_40","Q1","Type 2","Spanish_rater10",4,0.499703382207784
"Spanish","Spanish_Rg2","Spanish_text_21","Q1","Type 1","Spanish_rater11",-8,-1.4034126358514
"Spanish","Spanish_Rg2","Spanish_text_23","Q1","Type 1","Spanish_rater11",2,0.144920472248412
"Spanish","Spanish_Rg2","Spanish_text_24","Q1","Type 2","Spanish_rater11",8,1.4916059817795
"Spanish","Spanish_Rg2","Spanish_text_28","Q1","Type 1","Spanish_rater11",-6,-0.967421566101701
"Spanish","Spanish_Rg2","Spanish_text_30","Q1","Type 1","Spanish_rater11",6,0.91129508069062
"Spanish","Spanish_Rg2","Spanish_text_31","Q1","Type 2","Spanish_rater11",-7,-1.20984741420994
"Spanish","Spanish_Rg2","Spanish_text_36","Q1","Type 2","Spanish_rater11",-5,-0.737356881131245
"Spanish","Spanish_Rg2","Spanish_text_37","Q1","Type 2","Spanish_rater11",9,1.96527241897178
"Spanish","Spanish_Rg2","Spanish_text_39","Q1","Type 1","Spanish_rater11",6,0.91129508069062
"Spanish","Spanish_Rg2","Spanish_text_40","Q1","Type 2","Spanish_rater11",8,1.4916059817795
"Spanish","Spanish_Rg2","Spanish_text_21","Q1","Type 1","Spanish_rater12",5,0.697329344447225
"Spanish","Spanish_Rg2","Spanish_text_23","Q1","Type 1","Spanish_rater12",3,0.309157598954232
"Spanish","Spanish_Rg2","Spanish_text_24","Q1","Type 2","Spanish_rater12",3,0.309157598954232
"Spanish","Spanish_Rg2","Spanish_text_28","Q1","Type 1","Spanish_rater12",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_30","Q1","Type 1","Spanish_rater12",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_31","Q1","Type 2","Spanish_rater12",-4,-0.535082815086322
"Spanish","Spanish_Rg2","Spanish_text_36","Q1","Type 2","Spanish_rater12",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_37","Q1","Type 2","Spanish_rater12",-2,-0.202525183346417
"Spanish","Spanish_Rg2","Spanish_text_39","Q1","Type 1","Spanish_rater12",-4,-0.535082815086322
"Spanish","Spanish_Rg2","Spanish_text_40","Q1","Type 2","Spanish_rater12",4,0.499703382207784
